"","Country.Name","Country.Code","CapitaGrowth","oil","population","tax_rev","Polity","Ethnic","violence","l_violence","l_pop","GDPpc","l_GDPpc"
"159","Korea, Dem. People’s Rep.","PRK",NA,NA,23729498,NA,-10,NA,5.1,1.80828877117927,16.9822294735316,NA,NA
"160","Portugal","PRT",1.56841348957646,0,10483861,19.9329892,10,0.0468,1.3,0.832909122935104,16.1653475850392,18045.5881,9.80065650729118
"161","Paraguay","PRY",2.30985350659614,0,5703740,NA,8,0.1689,18.6,2.97552956623647,15.5566326579897,1408.527976,7.250300449384
"162","West Bank and Gaza","PSE",7.55921893384017,NA,3236626,NA,NA,NA,4.1,1.62924053973028,14.9900419871538,1337.565724,7.19860661700211
"163","French Polynesia","PYF",NA,NA,251775,NA,NA,NA,NA,NA,12.4362911105163,NA,NA
"164","Qatar","QAT",8.17939662676346,27.054103568705,758855,25.50799917,-10,0.7456,4.9,1.77495235091167,13.5395659972839,41818.35256,10.6410905786151
"165","Romania","ROU",8.97776596443704,1.11639316323107,21451748,17.13696936,9,0.3069,2.1,1.1314021114911,16.8813166918595,3552.92452,8.17552635177623
"166","Russian Federation","RUS",7.60832412787052,11.1716268622481,144067054,13.23402539,6,0.2452,NA,NA,18.7857894019354,4102.372294,8.31932069365585
"167","Rwanda","RWA",5.73318908151617,NA,8818438,NA,-3,0.3238,NA,NA,15.9923553147937,236.9114381,5.46768639239682
"168","Saudi Arabia","SAU",4.83309759974075,41.2918089438098,23228890,NA,-10,NA,NA,NA,16.9609073205658,11138.80746,9.31819045748169
"169","Sudan","SDN",1.04805923060258,12.3462817353132,30186341,NA,-6,NA,7.5,2.14006616349627,17.2229000952653,565.0569459,6.33692651527109
"170","Senegal","SEN",3.11717106135532,0,10955944,NA,8,NA,9.3,2.33214389523559,16.2093926979975,733.0581811,6.59722507267941
"171","Singapore","SGP",8.18626016618767,0,4166664,11.69058272,-2,NA,0.5,0.405465108108164,15.2426262736042,27405.27136,10.2184906592739
"172","Solomon Islands","SLB",2.25373379791247,NA,458324,NA,8,NA,5.5,1.87180217690159,13.035331636571,818.442619,6.70740328928346
"173","Sierra Leone","SLE",1.71952590408387,NA,5439695,8.258113113,5,NA,2,1.09861228866811,15.5092335510839,263.1045817,5.57255160218576
"174","El Salvador","SLV",1.35424807663512,0,6000775,10.99358792,10,0.1978,63.5,4.16666522380173,15.6073991855177,2632.709942,7.87576899087575
"175","San Marino","SMR",3.23932730611614,NA,28866,14.52427954,NA,NA,0,0,10.2704197109275,65035.9605,11.0826956343593
"176","Somalia","SOM",NA,NA,10116228,NA,0,NA,6.1,1.96009478404727,16.1296514250708,NA,NA
"177","Serbia","SRB",9.3012466699879,0.396742128856982,7463157,NA,NA,NA,1.6,0.955511445027436,15.8254890730087,3331.228766,8.11109651370997
"178","South Sudan","SSD",NA,NA,7787655,NA,NA,NA,NA,NA,15.8680503455716,NA,NA
"179","Sao Tome and Principe","STP",1.37459084872629,NA,151969,12.45323686,NA,NA,NA,NA,11.9314318316599,693.3045683,6.54146939513776
"180","Suriname","SUR",8.08341591589623,6.25612002030873,493630,21.02537761,5,NA,3.1,1.41098697371026,13.1095415276843,3006.48773,8.0085278093138
"181","Slovak Republic","SVK",5.28027109463601,0.00977316816309725,5372280,17.24557193,9,NA,2,1.09861228866811,15.4967629573816,10654.79371,9.27376518348185
"182","Slovenia","SVN",4.28496271714363,0.000132121102268996,1997012,20.60106635,10,NA,1,0.693147180559945,14.5071626213934,17260.90151,9.75619919444375
"183","Sweden","SWE",3.91104399816003,0,8993531,27.21738681,10,NA,0.9,0.641853886172395,16.0120160990781,42442.22045,10.6558989111048
"184","Swaziland","SWZ",2.89896045031783,NA,1095053,22.23615729,10,NA,13.8,2.69462718077007,13.9063133218879,2529.633535,7.83582972340402
"185","Sint Maarten (Dutch part)","SXM",NA,NA,35316,NA,NA,NA,NA,NA,10.4720913980215,NA,NA
"186","Seychelles","SYC",-2.49000793387151,NA,82475,NA,NA,NA,3.4,1.48160454092422,11.3202504960968,10176.65871,9.22785201520659
