"","CTRY","YEAR","COW","PHYSINT","ASSN","DOMMOV","WORKER","polity","l_pop","urban","gdp","gdpgrth","event_lag1","event","FORMOV","dummyevent","Violence","tax","speech","protesthistory","laborenvir","anocracy","ViolenceLag","milcapita"
"119","Chad",2003,483,4,1,0,1,-2,16.027439,24.540001,6.9436402,14.72167,0,0,1,0,4,NA,1,0,3,1,4,0.00322199548920632
"120","Chad",2004,483,2,1,1,1,-2,16.06131,24.92,NA,33.62936,0,0,1,0,6,NA,0,0,3,1,4,0.00310398344542162
"121","China",1994,710,0,0,0,0,-7,20.89876,30.6,7.7310781,13.1,3,1,1,1,8,NA,0,0,0,0,NA,0.00242493863167251
"122","China",1995,710,0,0,0,0,-7,20.90963,31.4,7.8379288,10.9,1,2,1,1,8,NA,0,0,0,0,8,0.00240119846847792
"123","China",1996,710,3,0,0,0,-7,20.920111,32.279999,7.9407139,10,2,0,1,0,5,NA,0,1,0,0,8,0.00215082912433659
"124","China",1997,710,2,0,0,0,-7,20.93034,33.16,8.0465269,9.3000002,0,3,1,1,6,NA,0,1,0,0,5,0.00209047243068878
"125","China",1998,710,2,0,0,0,-7,20.939939,34.040001,8.1147509,7.8000002,3,0,1,0,6,NA,0,1,0,0,6,0.00207056155222036
"126","China",1999,710,2,0,0,0,-7,20.94939,34.919998,8.1863155,7.5999999,0,2,1,1,6,NA,0,0,0,0,6,0.00189448058867827
"127","China",2000,710,3,0,0,0,-7,20.95647,35.799999,8.2945051,8.3999996,2,4,1,1,5,NA,0,1,0,0,6,0.00219950875028766
"128","China",2001,710,2,0,0,0,-7,20.963739,36.720001,8.3869562,8.3000002,4,1,1,1,6,NA,0,0,0,0,5,0.00181625191649959
"129","China",2002,710,1,0,0,0,-7,20.97044,37.639999,8.4861889,9.1000004,1,10,1,1,7,NA,0,1,0,0,6,0.00175246000608343
"130","China",2003,710,1,0,0,0,-7,20.976669,38.560001,8.5794668,10,10,2,1,1,7,NA,0,1,0,0,7,0.00172703617565109
"131","China",2004,710,1,0,0,0,-7,20.98267,39.48,8.6607208,10.1,2,6,1,1,7,NA,0,1,0,0,7,0.00171930397569013
"132","Congo, Democratic Republic of",1994,490,NA,NA,NA,NA,0,17.59255,28.280001,6.1942601,-3.899997,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.000910539494650581
"133","Congo, Democratic Republic of",1995,490,NA,NA,NA,NA,0,17.622141,28.4,6.1780968,0.69999892,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.000880029921017315
"134","Congo, Democratic Republic of",1996,490,NA,NA,NA,NA,0,17.64683,28.68,6.2110062,-1.023175,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.00106810219601811
"135","Congo, Democratic Republic of",1997,490,NA,NA,NA,NA,0,17.66773,28.959999,6.1372318,-5.6170449,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.000624479600333056
"136","Congo, Democratic Republic of",1998,490,NA,NA,NA,NA,0,17.686781,29.24,6.088892,-1.624157,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.00101752172408881
"137","Congo, Democratic Republic of",1999,490,NA,NA,NA,NA,0,17.70649,29.52,5.9876461,-4.2701349,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.00109267905036257
"138","Congo, Democratic Republic of",2000,490,NA,NA,NA,NA,0,17.728571,29.799999,5.8837318,-6.9001069,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.00108413675610795
"139","Congo, Democratic Republic of",2001,490,0,0,0,0,0,17.753361,30.26,5.9180059,-2.0998771,0,0,1,0,8,NA,0,0,0,1,NA,0.00156773182108503
"140","Congo, Republic of",1994,484,3,1,1,2,5,14.85296,55.98,7.1089821,-5.5,0,0,2,0,5,NA,1,0,5,1,NA,0.0039714058776807
"141","Congo, Republic of",1995,484,4,2,1,2,5,14.88558,56.400002,7.3591781,4,0,0,2,0,4,NA,1,0,6,1,5,0.00385653682992673
"142","Congo, Republic of",1996,484,4,1,1,1,5,14.9187,56.779999,7.4905658,4.3000002,0,0,2,0,4,NA,0,0,3,1,4,0.00374812593703148
"143","Congo, Republic of",1997,484,1,1,1,1,-6,14.95212,57.16,7.5691919,-0.60000002,0,0,2,0,7,NA,1,0,4,0,4,0.00364298724954463
"144","Congo, Republic of",1998,484,3,1,0,1,-6,14.98547,57.540001,7.471261,3.7,0,0,1,0,5,NA,1,0,3,0,7,0.00359066427289048
"145","Congo, Republic of",1999,484,0,1,0,1,-6,15.0183,57.919998,7.0458159,-2.5999999,0,0,1,0,8,NA,1,0,3,0,5,0.00349162011173184
"146","Congo, Republic of",2000,484,3,2,1,2,-6,15.05034,58.299999,7.15944,7.5999999,0,0,2,0,5,NA,1,0,6,0,8,0.00339789330615019
"147","Congo, Republic of",2001,484,4,2,1,1,-5,15.08161,58.68,7.2005391,3.8,0,0,1,0,4,NA,1,0,5,1,5,0.00336247478143914
"148","Congo, Republic of",2003,484,5,1,1,1,-4,15.14239,59.439999,7.4267621,1.721949,0,0,2,0,3,NA,1,0,4,1,4,0.00297353553374963
"149","Congo, Republic of",2004,484,6,1,1,1,-4,15.1721,59.82,NA,3.5999999,0,0,1,0,2,NA,0,0,3,1,3,0.00289939112786315
"150","Cote d'Ivoire",1994,437,4,1,0,1,-6,16.478479,41.060001,7.5585432,0.8112067,0,0,2,0,4,NA,1,0,3,0,NA,0.00109529025191676
"151","Cote d'Ivoire",1995,437,1,1,0,1,-6,16.507111,41.400002,7.6120229,7.1257448,0,0,1,0,7,NA,1,0,3,0,4,0.00105411103302881
"152","Cote d'Ivoire",1996,437,4,0,1,0,-6,16.53507,41.720001,7.6802101,7.7293272,0,0,1,0,4,NA,1,0,2,0,7,0.0010148163182464
"153","Cote d'Ivoire",1997,437,5,1,1,0,-6,16.562229,42.040001,7.700326,5.719059,0,0,2,0,3,NA,1,0,3,0,4,0.00104895104895105
"154","Cote d'Ivoire",1998,437,3,1,1,1,-6,16.58803,42.360001,7.7303448,4.7524748,0,0,2,0,5,NA,0,0,3,0,3,0.0010495382031906
"155","Cote d'Ivoire",1999,437,3,1,0,0,-1,16.61174,42.68,7.756424,1.586448,0,0,1,0,5,NA,1,0,2,1,5,0.00103263114415531
"156","Cote d'Ivoire",2000,437,1,1,0,1,4,16.633011,43,7.6832471,-3.349508,0,0,1,0,7,NA,1,0,3,1,5,0.000541052346814554
"157","Cote d'Ivoire",2001,437,2,1,0,1,4,16.65172,43.400002,7.8658881,0.1008471,0,0,1,0,6,NA,1,0,3,1,7,0.00082703213610586
"158","Cote d'Ivoire",2002,437,3,1,0,1,0,16.66832,43.799999,7.8694429,-1.630383,0,0,1,0,5,NA,1,0,3,1,6,0.00101949025487256
"159","Cote d'Ivoire",2003,437,2,0,0,1,0,16.68363,44.200001,7.8575578,-1.660594,0,0,2,0,6,NA,1,0,2,1,5,0.0010053222945003
"160","Cote d'Ivoire",2004,437,2,1,0,1,0,16.69874,44.599998,NA,1.644834,0,0,1,0,6,NA,0,0,2,1,6,0.000991600559962669
"161","Cuba",1994,40,3,0,1,0,-7,16.195881,74.120003,8.4395218,NA,0,0,1,0,5,NA,0,0,1,0,NA,0.0127853881278539
"162","Cuba",1995,40,3,0,1,0,-7,16.20122,74.300003,8.4518805,2.457201,0,0,1,0,5,NA,0,0,1,0,5,0.0063752276867031
"163","Cuba",1996,40,3,0,1,0,-7,16.20649,74.559998,8.5156441,7.8387499,0,0,1,0,5,NA,0,0,1,0,5,0.00635266358108721
"164","Cuba",1997,40,4,0,1,0,-7,16.211599,74.82,8.5270414,2.492615,0,0,1,0,4,NA,0,0,1,0,5,0.0049733248937517
"165","Cuba",1998,40,3,0,1,0,-7,16.216419,75.080002,8.5320559,1.246878,0,0,1,0,5,NA,0,0,1,0,4,0.00494782295789852
