"","X","name","GEOID","year.x","parent.location","population","poverty.rate","pct.renter.occupied","median.gross.rent","median.household.income","median.property.value","rent.burden","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","renter.occupied.households","eviction.filings","evictions","eviction.rate","eviction.filing.rate","imputed","subbed","Composite.Bottom.Order","Composite.Index","Composite.Score","Composite.Top.Order","Civil.Legal.Aid","Disabilities","LEP","Limited.English","Median.Income.2012","Number.of.Attorneys.Per.10.000.People","Number.of.Civil.Legal.Aid.Attorneys.Per.10.000.People.In.Poverty","Number.of.Records","Percent.of.People.with.Disabilities","Population","Region","Self.Represented","State.Abb","Weight","year.y","median.household.income.1000s","LCivil.Legal.Aid","State","Year","State Spending","Local Spending","State and Local Spending","Gross State Product","Real State Growth %","Population (million)"
"77",22016,"Missouri",29,2016,"USA",6045448,11.13,32.76,746,48173,138400,29.4,80.22,11.44,3.85,0.37,1.74,0.1,2.14,0.13,725712,35106,20651,2.85,4.84,0,0,37,32.4097,129.6388,16,4.681091804,44.44444444,17.2,32.58426966,56630,41.78548381,0.46810918,1,14.7,6063589,"Midwest",47.92899408,"MO",5,2016,48.173,-0.75905371967422,"Missouri",2016,202.4,96.3,298.6,49397.8,1.1,6.1
"78",22492,"Montana",30,2016,"USA",1014699,9.91,32.81,711,47169,193500,28.6,86.98,0.44,3.31,6.26,0.68,0.08,2.22,0.03,144773,2292,1249,0.86,1.58,0,0,35,33.50225394,134.0090158,18,3.36019662,44.44444444,3.1,14.60674157,51102,30.53989971,0.336019662,1,13.2,1023579,"West",71.59763314,"MT",5,2016,47.169,-1.09058560287389,"Montana",2016,270.5,105.9,376.4,44282.1,0.2,1
"79",22730,"Nebraska",31,2016,"USA",1869365,8.75,33.76,726,52997,133200,27,80.76,4.59,9.96,0.71,2.02,0.06,1.82,0.09,258410,7325,5615,2.17,2.83,0,0,28,38.02137402,152.0854961,25,5.942269059,51.38888889,26.5,65.16853933,56870,28.49317806,0.594226906,1,11.5,1881503,"Midwest",29.58579882,"NE",0,2016,52.997,-0.520494035928634,"Nebraska",2016,559.1,166.9,726,60466,1.2,1.9
"80",22849,"Nevada",32,2016,"USA",2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,394807,24319,13478,3.41,6.16,0,0,49,24.82057736,99.28230944,4,5.258751606,41.66666667,20.9,16.85393258,49875,24.15555076,0.525875161,1,13.4,2839099,"West",35.50295858,"NV",1,2016,51.847,-0.642691430915093,"Nevada",2016,276.4,234.6,511,50174.4,2.4,2.9
"81",23087,"New Hampshire",33,2016,"USA",1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,9451,166,161,1.7,1.76,0,0,30,37.26741551,149.069662,23,4.169518733,65.27777778,10.7,38.20224719,73397,26.5372739,0.416951873,1,12.2,1326813,"Northeast",41.42011834,"NH",1,2016,66.779,-0.874784476313891,"New Hampshire",2016,392.7,220.5,613.2,58317.5,3,1.3
"82",23325,"New Jersey",34,2016,"USA",8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1225526,147671,136,0.01,12.05,0,0,23,39.64670548,158.5868219,30,5.635352216,65.27777778,21.8,31.46067416,65243,46.5072568,0.563535222,1,10.5,8938175,"Northeast",56.21301775,"NJ",5,2016,72.093,-0.573525441688186,"New Jersey",2016,619.8,183.7,803.5,64724.3,1.2,9
"83",24396,"New Mexico",35,2016,"USA",2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,188623,7984,6006,3.18,4.23,0,0,11,49.78424012,199.1369605,42,4.671000786,62.5,13.7,77.52808989,46686,26.59701991,0.467100079,1,14.7,2085572,"West",54.43786982,"NM",5,2016,44.963,-0.761211742345423,"New Mexico",2016,363.3,71.6,434.9,44737.5,-0.5,2.1
"84",24872,"New York",36,2016,"USA",19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1770577,126657,38055,2.15,7.15,0,0,26,38.9373703,155.7494812,27,26.53267379,50,23.8,23.59550562,54310,87.4242963,2.653267379,1,11.5,19746227,"Northeast",55.62130178,"NY",5,2016,59.269,0.975791853718434,"New York",2016,176.8,714.7,891.5,75014,0.8,19.8
"85",30108,"North Carolina",37,2016,"USA",9845333,12.79,34.87,797,46868,154900,30.3,64.24,21.17,8.84,1.1,2.46,0.05,1.94,0.2,1355467,147038,62539,4.61,10.85,0,0,18,43.59911183,174.3964473,35,5.082848916,79.16666667,25,51.68539326,46784,23.26637546,0.508284892,1,13.8,9943964,"South",38.46153846,"NC",1,2016,46.868,-0.676713177575766,"North Carolina",2016,135.9,289.9,425.7,50991.4,1.6,10.2
"86",30584,"North Dakota",38,2016,"USA",721640,7.23,35.86,709,57181,153800,24.9,87.05,1.6,2.85,5.2,1.22,0.04,2,0.05,122157,1339,NA,NA,1.1,0,0,46,27.91233471,111.6493388,7,4.14263493,41.66666667,10,30.33707865,60730,22.51576103,0.414263493,1,10.6,739482,"Midwest",35.50295858,"ND",1,2016,57.181,-0.881253051087639,"North Dakota",2016,1357.3,214.5,1571.8,68942,-6.5,0.8
"87",30703,"Ohio",39,2016,"USA",11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1663340,103027,57980,3.49,6.19,0,0,33,34.44565943,137.7826377,20,4.492888974,55.55555556,14.3,29.21348315,49644,33.50737781,0.449288897,1,13.9,11594163,"Midwest",48.52071006,"OH",1,2016,49.429,-0.800089174985234,"Ohio",2016,290.9,343.4,634.3,53836.1,1.7,11.6
